codigo_candidato,data_cadastro,nome_completo,sexo,uf,faixa_etaria,nivel_educacional,setor_profissional,tempo_experiencia,qtd_certificacoes,idioma_principal,salario_esperado,salario_oferecido,aceita_viagem,aceita_mudanca,deficiencia,foi_contratado
37,2023-04-21,Candidato_37,Feminino,DF,32.0,Doutorado,Recursos Humanos,3.4,1.0,Nenhum,5200.0,5000.0,Sim,Não,Não,0.0
38,2023-12-01,,Feminino,DF,44.0,Doutorado,Financeiro,1.7,1.0,Inglês,6300.0,,Sim,Não,Não,0.0
39,2022-07-09,,Masculino,CE,52.0,Ensino Médio,Administração,7.4,,Espanhol,6100.0,5600.0,Não,Não,,1.0
40,2023-11-18,Candidato_40,,SP,50.0,Tecnólogo,Educação,7.3,1.0,Francês,3700.0,4100.0,Sim,Não,Não,0.0
41,2023-07-17,Candidato_41,Feminino,BA,37.0,Tecnólogo,,3.4,3.0,Alemão,9700.0,9300.0,,Sim,Não,
42,2023-07-21,,Masculino,RS,33.0,Graduação,Financeiro,4.2,3.0,Nenhum,10300.0,11200.0,Sim,Não,Não,0.0
43,2022-09-01,Candidato_43,Feminino,PE,51.0,Tecnólogo,,3.2,,Francês,11500.0,10200.0,Sim,Não,Não,0.0
44,2023-05-20,Candidato_44,Outro,SP,19.0,Mestrado,Educação,5.7,,Espanhol,9300.0,8800.0,Não,Não,Não,0.0
45,2022-05-11,,Feminino,CE,52.0,Graduação,Financeiro,8.5,1.0,Nenhum,6200.0,,,,Não,
46,2023-04-30,Candidato_46,Outro,PR,57.0,Mestrado,Marketing,6.4,1.0,Inglês,6200.0,,Não,Não,Não,0.0
47,2023-10-09,,Masculino,RS,45.0,Ensino Médio,,7.1,1.0,Alemão,,6400.0,Não,Sim,Não,0.0
48,2022-01-21,Candidato_48,Feminino,CE,64.0,Doutorado,Administração,6.6,2.0,Espanhol,11000.0,,Não,Não,Não,1.0
49,2022-06-16,Candidato_49,Masculino,BA,56.0,Ensino Médio,,5.0,0.0,Alemão,6800.0,6700.0,Sim,Não,Não,0.0
50,2022-10-01,Candidato_50,Outro,BA,23.0,Doutorado,Educação,7.2,,Nenhum,,10600.0,Sim,Sim,Não,0.0
51,2023-01-23,Candidato_51,Outro,BA,26.0,Ensino Médio,,6.5,2.0,Francês,9400.0,,Não,Não,Não,0.0
52,2023-08-24,Candidato_52,Outro,SP,37.0,Tecnólogo,Administração,7.9,4.0,Alemão,7400.0,5900.0,Não,Sim,Não,1.0
53,2022-11-12,Candidato_53,Masculino,SP,18.0,Mestrado,Marketing,,0.0,Inglês,4100.0,3700.0,Sim,Não,Não,0.0
54,2022-01-14,Candidato_54,Masculino,PE,25.0,Doutorado,Saúde,1.5,0.0,Espanhol,6800.0,6800.0,Não,Sim,Não,
55,2022-08-30,Candidato_55,Masculino,PE,40.0,Graduação,Marketing,7.1,1.0,Inglês,7300.0,7600.0,Sim,Sim,,1.0
56,2022-12-12,Candidato_56,Masculino,PR,20.0,Mestrado,Educação,5.7,1.0,Alemão,9600.0,7900.0,Sim,Não,Não,0.0
57,2023-07-19,,Outro,RS,21.0,Graduação,Marketing,4.4,,Francês,7000.0,7600.0,Sim,Sim,Não,
58,2022-12-06,,Outro,RJ,42.0,Mestrado,,4.5,2.0,Francês,4600.0,4700.0,Não,,,0.0
59,2022-04-02,Candidato_59,Feminino,RJ,64.0,Mestrado,Financeiro,10.1,2.0,Inglês,9000.0,9100.0,Não,Sim,Não,1.0
60,2023-01-02,Candidato_60,Feminino,CE,55.0,Ensino Médio,Engenharia,3.7,2.0,Nenhum,6500.0,6000.0,Sim,Sim,Não,1.0
61,2023-03-31,Candidato_61,Masculino,BA,32.0,Doutorado,Recursos Humanos,3.3,5.0,,1900.0,2000.0,Não,Não,,
62,2023-03-04,Candidato_62,Outro,RS,38.0,Doutorado,Saúde,5.2,3.0,Francês,7600.0,6200.0,Não,Sim,Não,1.0
63,2023-05-24,Candidato_63,Outro,,52.0,Mestrado,Tecnologia,7.4,4.0,Inglês,8000.0,6600.0,Sim,,Não,1.0
64,2022-02-04,Candidato_64,Outro,SP,63.0,,Financeiro,,3.0,Inglês,5300.0,5800.0,Sim,Sim,Não,0.0
65,2022-07-25,Candidato_65,Feminino,SC,31.0,,Engenharia,,0.0,Inglês,6600.0,6100.0,Não,Sim,Não,
66,2022-03-22,Candidato_66,Feminino,MG,53.0,Graduação,Tecnologia,2.5,3.0,Alemão,8300.0,7800.0,,Não,,0.0
67,2023-07-16,Candidato_67,Outro,PR,,Graduação,Administração,8.9,2.0,Nenhum,7700.0,6800.0,Não,Não,Não,0.0
68,2023-01-23,Candidato_68,Outro,BA,34.0,Ensino Médio,Tecnologia,5.0,,,3900.0,3800.0,,Sim,Não,
69,2022-01-02,Candidato_69,Outro,BA,56.0,Mestrado,Financeiro,3.3,3.0,,9500.0,7800.0,,Não,Não,0.0
70,2023-01-25,Candidato_70,Feminino,BA,26.0,Graduação,Marketing,2.8,1.0,Espanhol,,9600.0,Não,Não,Não,1.0
71,2023-07-20,Candidato_71,Outro,SP,52.0,Graduação,Financeiro,6.7,1.0,Alemão,6000.0,6100.0,Não,,Não,
72,2022-04-16,Candidato_72,Outro,SP,30.0,Mestrado,Recursos Humanos,5.5,4.0,Inglês,3200.0,3200.0,Não,Sim,Não,0.0
73,2023-04-22,Candidato_73,Masculino,MG,32.0,Ensino Médio,Tecnologia,5.7,0.0,Alemão,8500.0,10200.0,Não,,Não,0.0
74,2023-12-04,Candidato_74,Masculino,DF,35.0,Graduação,Educação,7.6,2.0,Inglês,5700.0,5400.0,Não,Sim,Não,1.0
75,2023-02-06,Candidato_75,Feminino,RS,50.0,Ensino Médio,Engenharia,3.4,3.0,Francês,8100.0,7700.0,Sim,Não,Não,0.0
76,2023-12-31,Candidato_76,Outro,BA,23.0,Doutorado,Engenharia,7.7,1.0,Inglês,11400.0,11400.0,,Não,Não,0.0
77,2023-07-10,Candidato_77,Outro,RJ,44.0,Ensino Médio,Tecnologia,4.0,0.0,Nenhum,3900.0,3400.0,Não,Não,Não,0.0
78,2022-06-11,Candidato_78,,PE,40.0,Tecnólogo,Engenharia,9.3,3.0,Alemão,5400.0,6200.0,,Não,Não,0.0
79,2022-07-21,,Feminino,,44.0,Tecnólogo,Educação,6.2,2.0,Inglês,6600.0,6800.0,Não,Não,,0.0
80,2022-09-27,Candidato_80,Masculino,CE,51.0,Ensino Médio,Financeiro,3.2,1.0,Espanhol,9600.0,8400.0,Sim,Não,Não,0.0
81,2022-09-28,Candidato_81,Masculino,RJ,63.0,Tecnólogo,Engenharia,0.9,2.0,Francês,14100.0,15800.0,,Sim,Não,1.0
82,2023-04-01,Candidato_82,Masculino,CE,55.0,Doutorado,Tecnologia,6.6,1.0,Espanhol,7500.0,6100.0,Não,Não,Não,0.0
83,2023-04-07,Candidato_83,Masculino,SC,31.0,Mestrado,Saúde,4.3,0.0,Espanhol,3700.0,4400.0,Não,Sim,Não,0.0
84,2023-12-28,Candidato_84,Outro,PE,53.0,Tecnólogo,Saúde,4.7,2.0,Espanhol,6300.0,7200.0,Não,Não,Não,0.0
85,2022-09-09,Candidato_85,Outro,RJ,25.0,Tecnólogo,Administração,,0.0,Francês,5500.0,5700.0,Sim,Sim,Não,0.0
86,2023-12-03,Candidato_86,Masculino,SC,52.0,Ensino Médio,Recursos Humanos,7.0,,,8400.0,7100.0,,,Não,0.0
87,2022-10-23,Candidato_87,Feminino,PR,36.0,,Engenharia,7.4,2.0,Francês,7800.0,6900.0,Não,,Não,0.0
88,2023-12-26,,Feminino,RS,47.0,Mestrado,Recursos Humanos,2.7,,Francês,4900.0,4500.0,Não,Não,Não,0.0
89,2023-12-21,Candidato_89,Feminino,SC,31.0,Ensino Médio,Financeiro,,1.0,Espanhol,5300.0,4800.0,Não,Sim,Não,1.0
90,2022-12-04,Candidato_90,,RS,37.0,Ensino Médio,Tecnologia,3.8,0.0,Nenhum,6300.0,6300.0,Não,Sim,Não,0.0
91,2022-02-22,Candidato_91,Masculino,RJ,,Doutorado,Engenharia,0.5,0.0,Nenhum,6500.0,7700.0,Não,Não,Não,0.0
92,2022-08-05,Candidato_92,Outro,DF,57.0,Mestrado,Marketing,2.6,4.0,Francês,6900.0,6700.0,Sim,Sim,Não,0.0
93,2022-07-07,Candidato_93,Feminino,SC,41.0,Doutorado,Educação,5.4,,Alemão,7100.0,7600.0,Sim,Sim,Não,0.0
94,2023-01-15,Candidato_94,Masculino,PE,31.0,Mestrado,Engenharia,3.0,5.0,Inglês,9500.0,10200.0,Sim,Não,Não,0.0
95,2023-05-08,Candidato_95,Feminino,RJ,,Doutorado,Engenharia,4.8,0.0,Alemão,6200.0,,,,Não,0.0
96,2022-02-10,Candidato_96,Feminino,BA,55.0,Ensino Médio,Recursos Humanos,5.7,3.0,Alemão,5900.0,4800.0,Não,,,1.0
97,2022-06-06,Candidato_97,Masculino,SP,40.0,Ensino Médio,Recursos Humanos,4.6,2.0,Alemão,4300.0,4100.0,Não,Não,Não,
98,2022-01-15,Candidato_98,Outro,SC,39.0,Graduação,Saúde,4.0,1.0,Nenhum,6600.0,7400.0,,Sim,,0.0
99,2022-03-06,Candidato_99,Outro,,36.0,Tecnólogo,Educação,2.5,1.0,,7500.0,8400.0,Sim,Sim,Não,
100,2023-06-05,Candidato_100,Masculino,PR,63.0,Doutorado,Tecnologia,,1.0,Alemão,3600.0,4200.0,Sim,Sim,Não,0.0
101,2022-12-10,Candidato_101,Outro,BA,,,Engenharia,0.9,2.0,Francês,6300.0,6800.0,Não,Sim,,1.0
102,2022-05-09,Candidato_102,Masculino,PR,59.0,Tecnólogo,Saúde,3.6,3.0,,9300.0,8400.0,,Não,Não,0.0
103,2023-10-10,Candidato_103,Masculino,RJ,36.0,Doutorado,Recursos Humanos,3.1,2.0,Francês,8300.0,8300.0,Não,Não,Não,
104,2023-04-17,Candidato_104,Masculino,SP,26.0,Mestrado,Administração,4.5,,Francês,7700.0,6300.0,Sim,Não,Não,0.0
105,2022-03-04,Candidato_105,,SC,45.0,Tecnólogo,Educação,4.6,3.0,Alemão,8200.0,8700.0,Sim,Não,Não,1.0
106,2022-05-19,,Masculino,SC,37.0,Ensino Médio,,6.9,1.0,Francês,5900.0,6000.0,Sim,Sim,Não,1.0
107,2023-05-14,Candidato_107,Feminino,DF,62.0,Graduação,Saúde,8.2,2.0,Inglês,5600.0,,Sim,Não,Não,0.0
108,2023-08-16,,Outro,DF,24.0,Tecnólogo,Financeiro,2.8,,Francês,9500.0,,Sim,Não,Não,0.0
109,2023-01-27,Candidato_109,Outro,RJ,31.0,,Saúde,9.0,2.0,Alemão,8700.0,9400.0,Não,,Não,0.0
110,2023-11-06,Candidato_110,Outro,RJ,,Ensino Médio,Financeiro,3.4,4.0,Francês,5500.0,5100.0,Não,Sim,Não,0.0
111,2023-02-23,Candidato_111,Outro,SP,36.0,,Engenharia,5.3,1.0,Nenhum,3200.0,2800.0,Não,Sim,Não,0.0
112,2022-10-16,Candidato_112,Feminino,DF,64.0,Mestrado,Engenharia,6.0,0.0,Nenhum,5500.0,6300.0,Não,,,0.0
113,2023-01-14,Candidato_113,Outro,PE,31.0,,Recursos Humanos,,1.0,Nenhum,8100.0,7100.0,Não,Sim,Não,0.0
114,2023-05-05,Candidato_114,Outro,PE,55.0,Mestrado,Administração,3.9,2.0,Espanhol,5700.0,4900.0,Sim,Sim,Não,0.0
115,2022-08-19,Candidato_115,Masculino,SP,53.0,Doutorado,Marketing,1.4,,Nenhum,7700.0,6800.0,Não,,Não,0.0
116,2022-02-10,Candidato_116,Outro,PE,57.0,Tecnólogo,Marketing,8.0,1.0,Nenhum,9800.0,9800.0,Sim,Não,Não,1.0
117,2022-01-28,Candidato_117,Feminino,CE,34.0,Mestrado,Marketing,3.3,0.0,Espanhol,6800.0,5800.0,Não,Não,Não,1.0
118,2022-05-15,Candidato_118,Feminino,RS,47.0,,Recursos Humanos,,2.0,Nenhum,7500.0,8800.0,Sim,Não,Não,0.0
119,2022-07-20,Candidato_119,Feminino,SP,26.0,Graduação,Financeiro,2.8,2.0,,8400.0,10000.0,Sim,Não,Não,1.0
120,2022-02-02,Candidato_120,Feminino,SP,50.0,Ensino Médio,Recursos Humanos,,3.0,Nenhum,4800.0,,Sim,Não,Não,0.0
121,2022-02-17,Candidato_121,Outro,MG,42.0,Doutorado,Educação,,0.0,,5500.0,4500.0,Sim,Não,Não,1.0
122,2023-05-18,Candidato_122,Outro,BA,31.0,Ensino Médio,Educação,6.4,5.0,,8500.0,,,Não,Não,0.0
123,2023-02-11,Candidato_123,Feminino,BA,,Ensino Médio,Administração,5.2,5.0,Alemão,7100.0,8500.0,Sim,Sim,Não,0.0
124,2023-07-28,Candidato_124,Feminino,CE,52.0,Ensino Médio,Educação,3.6,1.0,Francês,7200.0,,Não,Sim,Não,
125,2023-12-29,Candidato_125,Outro,DF,58.0,Graduação,,7.0,4.0,Inglês,7100.0,7600.0,Sim,Sim,Não,0.0
126,2022-04-09,Candidato_126,,RJ,31.0,Graduação,Marketing,5.5,2.0,Alemão,9000.0,9700.0,Sim,Não,,1.0
127,2023-11-15,Candidato_127,Masculino,RJ,47.0,Ensino Médio,,1.3,3.0,,7900.0,6700.0,Não,Não,Não,1.0
128,2023-12-27,Candidato_128,,PR,58.0,Graduação,Saúde,6.8,2.0,Alemão,7900.0,9100.0,Sim,Sim,Não,1.0
129,2023-07-01,Candidato_129,Feminino,CE,21.0,Doutorado,Educação,5.4,3.0,Francês,9400.0,7700.0,Não,Sim,Não,0.0
130,2023-09-05,Candidato_130,Masculino,SP,21.0,Ensino Médio,Recursos Humanos,7.8,2.0,Francês,10200.0,9500.0,Não,Não,Não,0.0
131,2023-04-07,Candidato_131,Masculino,CE,45.0,Graduação,Engenharia,5.2,2.0,Alemão,,13800.0,Sim,Não,Não,
132,2023-10-05,Candidato_132,Outro,CE,25.0,Mestrado,Engenharia,3.4,2.0,Espanhol,5800.0,5600.0,,Não,Não,1.0
133,2022-01-05,Candidato_133,Outro,CE,19.0,Ensino Médio,Saúde,4.6,2.0,Alemão,11900.0,10100.0,Não,Não,Não,0.0
134,2022-08-06,Candidato_134,Masculino,BA,58.0,Ensino Médio,,6.6,0.0,Alemão,4800.0,5700.0,Sim,Não,Não,
135,2023-05-18,Candidato_135,,,63.0,Doutorado,Saúde,3.5,4.0,Francês,10900.0,13000.0,Não,,Não,0.0
136,2023-02-02,Candidato_136,Outro,RS,39.0,Tecnólogo,Recursos Humanos,4.1,4.0,Inglês,5700.0,5000.0,Sim,,Não,0.0
137,2023-01-28,Candidato_137,Feminino,,58.0,Tecnólogo,Engenharia,4.6,1.0,Francês,6900.0,7900.0,Não,Não,Não,0.0
138,2022-07-26,Candidato_138,Masculino,PR,33.0,Doutorado,,2.7,3.0,,,6700.0,Sim,Sim,,0.0
139,2022-01-15,Candidato_139,Outro,RS,46.0,,Saúde,3.5,0.0,Alemão,5300.0,5000.0,Sim,Não,Não,1.0
140,2023-07-08,Candidato_140,Feminino,PR,47.0,Doutorado,Administração,5.3,,Alemão,,6500.0,Não,Não,Não,0.0
141,2023-04-06,Candidato_141,Masculino,MG,29.0,Tecnólogo,Financeiro,7.4,,Espanhol,5400.0,4400.0,Não,Não,Não,1.0
142,2023-11-22,Candidato_142,Feminino,PR,,,Recursos Humanos,5.6,3.0,Francês,4500.0,4100.0,Não,Sim,Não,0.0
143,2023-07-29,Candidato_143,Outro,RJ,28.0,Graduação,Saúde,4.9,2.0,Espanhol,6900.0,5700.0,Não,Sim,Não,0.0
144,2022-08-29,Candidato_144,Masculino,RJ,63.0,Ensino Médio,,3.3,1.0,Alemão,10200.0,11900.0,,,Não,0.0
145,2023-07-18,Candidato_145,Feminino,,38.0,Ensino Médio,Tecnologia,7.2,0.0,Francês,6500.0,6900.0,,Sim,Não,
146,2022-04-06,Candidato_146,Masculino,,38.0,Mestrado,Saúde,5.9,0.0,Francês,8900.0,10300.0,Não,Sim,,0.0
147,2023-04-30,Candidato_147,Feminino,MG,22.0,Mestrado,Engenharia,3.6,4.0,Nenhum,5300.0,,Sim,Sim,Não,1.0
148,2023-02-11,,Outro,SP,37.0,Ensino Médio,Educação,,2.0,Nenhum,4400.0,3800.0,Sim,Não,Sim,0.0
149,2022-08-19,Candidato_149,Outro,PE,,Graduação,Saúde,,2.0,Inglês,7900.0,9300.0,Não,Não,,0.0
150,2023-10-17,Candidato_150,,PR,20.0,Tecnólogo,Recursos Humanos,,,Nenhum,,12200.0,Sim,Não,Não,0.0
151,2022-06-20,Candidato_151,Feminino,SC,61.0,Tecnólogo,Educação,,5.0,Francês,7400.0,7000.0,Não,Não,,1.0
152,2023-06-25,Candidato_152,Masculino,CE,50.0,Graduação,Tecnologia,4.0,3.0,,8700.0,7300.0,Sim,Não,Não,0.0
153,2022-02-05,Candidato_153,Masculino,BA,26.0,Tecnólogo,,,0.0,Inglês,10000.0,10800.0,Não,Não,Não,
154,2023-06-09,Candidato_154,Feminino,SP,26.0,Doutorado,Educação,6.1,0.0,Alemão,6900.0,7500.0,Sim,Não,Não,0.0
155,2022-06-09,Candidato_155,Feminino,DF,21.0,Ensino Médio,Financeiro,5.4,2.0,Nenhum,6700.0,7800.0,Não,Sim,Não,1.0
156,2023-11-30,Candidato_156,Feminino,SC,52.0,Ensino Médio,Marketing,5.9,2.0,Francês,7900.0,6500.0,Não,Não,Não,0.0
157,2022-08-31,Candidato_157,Outro,BA,34.0,,Saúde,7.8,2.0,,8300.0,7100.0,Sim,Não,Não,0.0
158,2022-03-27,Candidato_158,Masculino,MG,51.0,Tecnólogo,Tecnologia,4.8,3.0,Francês,4200.0,4400.0,Sim,Não,Não,0.0
159,2023-08-01,,Masculino,CE,41.0,,,3.8,0.0,Alemão,7600.0,8000.0,,Não,Não,1.0
160,2023-11-13,Candidato_160,Outro,SP,49.0,Mestrado,Educação,6.7,0.0,Francês,7000.0,5700.0,Não,Não,Não,
161,2023-07-11,Candidato_161,Feminino,SP,18.0,Tecnólogo,Administração,4.7,3.0,Nenhum,,5200.0,Sim,Não,Não,1.0
162,2023-07-28,Candidato_162,Outro,SP,25.0,Mestrado,Engenharia,2.9,2.0,Nenhum,6900.0,7100.0,,Não,Não,0.0
163,2023-10-08,Candidato_163,Outro,MG,62.0,Graduação,Saúde,,3.0,,,5100.0,Sim,Não,Não,0.0
164,2022-01-28,Candidato_164,Outro,,40.0,Graduação,Tecnologia,8.1,1.0,Alemão,4000.0,3700.0,Sim,Sim,,0.0
165,2023-09-12,Candidato_165,Masculino,DF,64.0,Tecnólogo,Administração,5.3,3.0,Inglês,7100.0,7100.0,,Sim,Sim,1.0
166,2023-07-10,Candidato_166,Outro,MG,57.0,Mestrado,Marketing,3.8,3.0,,8800.0,,,Não,Não,0.0
167,2022-12-06,Candidato_167,Masculino,PE,29.0,Graduação,Tecnologia,4.5,1.0,Nenhum,6300.0,7400.0,Sim,Não,Não,1.0
168,2022-11-27,Candidato_168,Masculino,DF,,Graduação,Administração,,3.0,Alemão,5100.0,4500.0,Sim,Sim,Não,0.0
169,2023-10-02,Candidato_169,Masculino,RJ,63.0,Doutorado,Recursos Humanos,4.4,4.0,Inglês,5400.0,4900.0,Sim,Não,Não,1.0
170,2023-05-21,Candidato_170,Feminino,CE,64.0,Doutorado,Engenharia,2.1,2.0,Inglês,8100.0,9500.0,Não,Não,Não,0.0
171,2022-12-14,Candidato_171,,MG,32.0,,Engenharia,5.7,1.0,Espanhol,10300.0,9900.0,,Sim,Não,0.0
172,2023-04-18,Candidato_172,Masculino,BA,,Tecnólogo,Tecnologia,,,Inglês,8500.0,9200.0,Sim,,Não,0.0
173,2022-08-19,Candidato_173,Feminino,DF,36.0,Ensino Médio,Financeiro,7.3,1.0,Francês,9600.0,10000.0,Não,Não,Não,0.0
174,2022-07-09,Candidato_174,Masculino,,43.0,Ensino Médio,Tecnologia,3.9,1.0,,4900.0,4500.0,Não,Não,Não,0.0
175,2022-08-13,Candidato_175,Outro,,46.0,Graduação,,7.5,3.0,Inglês,6900.0,7300.0,Não,Sim,Sim,0.0
176,2023-01-20,Candidato_176,Outro,PR,39.0,Graduação,Saúde,5.4,1.0,,9000.0,9600.0,Não,Sim,Não,
177,2023-01-12,Candidato_177,,BA,57.0,Graduação,Administração,,4.0,Espanhol,4200.0,4400.0,Não,Não,Não,0.0
178,2022-10-10,Candidato_178,Feminino,,,Tecnólogo,Tecnologia,6.1,3.0,Francês,5700.0,4800.0,,Sim,Não,0.0
179,2023-09-25,Candidato_179,Outro,CE,,Doutorado,Saúde,2.0,0.0,Inglês,8900.0,10700.0,Sim,Sim,Não,0.0
180,2023-09-20,Candidato_180,Feminino,BA,37.0,Graduação,Educação,8.5,2.0,Nenhum,7500.0,7200.0,Não,Sim,Não,0.0
181,2022-09-16,Candidato_181,Feminino,RJ,46.0,Graduação,Recursos Humanos,5.1,3.0,,5100.0,5400.0,Não,Não,Não,0.0
182,2022-12-25,Candidato_182,Outro,BA,21.0,Mestrado,Recursos Humanos,6.2,2.0,Inglês,3700.0,4300.0,Não,Sim,Não,0.0
183,2023-12-11,,Feminino,,24.0,Tecnólogo,Saúde,2.3,1.0,Francês,9700.0,9400.0,Sim,Sim,Sim,0.0
184,2023-04-01,Candidato_184,Outro,SC,45.0,,,6.0,4.0,,2900.0,3200.0,,Sim,Não,1.0
185,2023-02-15,Candidato_185,Feminino,PR,45.0,Mestrado,,,1.0,Nenhum,8300.0,9900.0,Sim,Não,Não,1.0
186,2023-10-11,Candidato_186,Outro,RJ,21.0,Ensino Médio,Administração,8.9,1.0,Francês,5900.0,5600.0,Não,Sim,Não,
187,2022-11-14,Candidato_187,Masculino,BA,39.0,,Administração,7.8,0.0,Francês,9100.0,8800.0,Não,Sim,Não,0.0
188,2023-11-08,Candidato_188,Outro,SC,29.0,Graduação,,6.1,,,4900.0,5700.0,Sim,Não,Não,
189,2022-08-13,Candidato_189,Outro,,62.0,Mestrado,,1.9,0.0,Alemão,,10500.0,Sim,Sim,Não,0.0
190,2022-08-22,Candidato_190,,,20.0,Tecnólogo,Engenharia,5.3,2.0,Espanhol,,6300.0,Não,Sim,Não,
191,2023-11-15,Candidato_191,Outro,CE,39.0,Graduação,Financeiro,3.8,1.0,Alemão,,,Sim,Sim,Não,0.0
