nome,idade,cidade,data_nasc,renda_mensal,comprou
Rebeca,69.0,RJ,21/06/1991,12091.06,0
Isis,64.0,SP,12/07/1993,8408.22,0
Milena,56.0,PR,13/07/1997,8377.02,0
Francisco,38.0,RS,24/11/2001,7730.6,1
Eloah,,SP,15/09/1971,5844.39,1
Mariana,56.0,MG,25/07/1999,12472.49,1
Diego,46.0,BA,16/08/1982,6422.41,1
Júlia,64.0,MG,07/08/1955,13248.47,0
Giovanna,45.0,RJ,21/01/1983,,0
Lívia,68.0,,11/08/1956,13453.99,1
Julia,,SP,26/03/1971,,0
Amanda,69.0,SP,11/01/2002,11569.87,0
Mariana,27.0,RS,10/11/1994,9733.25,0
Danilo,22.0,PR,29/06/1957,10311.15,0
João Pedro,41.0,MG,17/07/1959,14414.15,1
Beatriz,54.0,RJ,30/11/1963,6170.84,0
Enzo,61.0,,14/12/1981,11354.22,0
Samuel,41.0,RJ,04/03/1973,7886.6,1
Maria Fernanda,54.0,MG,11/04/1972,14159.37,0
Benício,43.0,RS,09/05/1962,13027.98,0
João Gabriel,33.0,RS,12/05/1999,5255.31,0
João Vitor,,BA,30/04/1960,13204.05,0
Nicole,53.0,MG,20/12/1955,,0
Valentina,34.0,SP,02/05/1995,14949.01,0
Yago,57.0,SP,09/11/1999,7358.76,0
Carlos Eduardo,49.0,RS,11/05/1954,8661.22,0
Caio,,MG,08/07/1956,11594.88,1
Benício,63.0,SP,04/07/1973,14908.39,1
Yago,69.0,SP,19/04/1966,,0
Agatha,63.0,MG,07/01/1999,4241.19,1
Emanuelly,36.0,SP,06/11/1990,14330.75,1
Maria Cecília,63.0,SP,18/09/1996,13933.76,0
Gabriel,50.0,RJ,21/11/1954,,0
Diogo,30.0,MG,09/05/1961,11775.46,1
Isabelly,49.0,MG,07/06/1995,6402.74,0
Arthur,54.0,SP,05/07/1965,12034.13,0
Renan,53.0,MG,07/08/1955,4285.0,0
Ana Julia,23.0,SP,07/09/1958,,1
Carlos Eduardo,63.0,RJ,06/02/1996,14133.51,0
Vitor Gabriel,67.0,MG,31/10/1958,2958.36,0
Carolina,22.0,MG,27/06/1992,9161.45,1
Noah,59.0,BA,29/08/1981,9342.83,0
Pedro Miguel,61.0,MG,24/06/1984,14721.92,0
Beatriz,,MG,07/10/1966,12205.75,0
Juan,29.0,,14/05/1965,9502.32,1
Maria Julia,21.0,SP,16/06/1993,,0
Maria Alice,37.0,,20/07/1985,12462.84,1
Juan,63.0,RJ,22/09/1962,8097.69,0
Eduarda,51.0,SP,22/11/1976,5110.82,1
Marcela,34.0,SP,01/01/1977,5462.7,0
Lucas Gabriel,53.0,SC,08/05/1992,,0
Joaquim,,RJ,12/01/1989,4176.73,1
Luana,50.0,RS,19/01/2006,6398.58,1
Emilly,55.0,MG,11/02/1962,,1
Pedro Miguel,57.0,BA,26/04/1965,1925.41,0
Gustavo,54.0,RJ,07/01/1997,11238.06,0
Rafael,19.0,MG,28/04/1976,10297.65,1
Kevin,,RJ,30/02/1993,8761.61,1
Manuela,31.0,SP,26/12/1962,7733.22,0
Carolina,19.0,,04/06/1955,6596.67,1
Rebeca,52.0,MG,28/01/2002,,0
Luiz Fernando,37.0,SP,11/04/1975,5663.18,0
Joana,69.0,SP,27/11/1955,10992.31,1
Ana Clara,22.0,,22/08/2000,9164.77,0
Luiz Otávio,44.0,MG,01/12/1975,5216.93,1
Fernanda,39.0,SP,,,0
Maria,63.0,PR,11/11/2006,1326.03,0
Clarice,40.0,SC,03/07/1957,14841.08,0
Júlia,,PR,02/12/1972,14761.27,1
Isabelly,38.0,RJ,05/07/1994,2525.46,0
Laís,35.0,SP,29/12/2001,,0
Otávio,24.0,PR,29/01/1998,14582.23,0
Marina,42.0,RJ,30/02/1993,,0
Pedro Miguel,28.0,SC,14/08/1964,10694.18,0
Ana Carolina,64.0,,25/10/1957,6380.13,0
Paulo,28.0,SC,24/03/2006,13135.56,0
Alícia,47.0,RS,30/12/1962,,0
Lara,49.0,SP,26/03/1965,2809.46,0
Matheus,,RJ,05/08/1971,10429.33,0
Lara,33.0,RS,14/01/1971,,1
Lucca,21.0,RJ,19/06/1987,,1
,56.0,SP,08/11/1978,14999.37,1
Nina,18.0,MG,17/03/1984,,1
Luigi,34.0,PR,30/02/1993,,1
Erick,41.0,MG,11/09/1986,10870.24,1
Maria Julia,54.0,MG,12/09/1961,8602.55,1
Enrico,36.0,SP,22/10/2004,12752.59,0
Maria Clara,46.0,MG,30/09/1976,4063.0,0
Valentina,57.0,,17/08/1976,,1
Isaac,,SC,14/01/1971,,1
Isis,39.0,SP,20/07/1969,,0
Sabrina,30.0,,13/04/1987,2411.93,0
Rafael,20.0,RJ,12/09/1973,1683.07,0
Danilo,,RS,02/08/2005,6217.12,0
Gabriel,27.0,MG,22/08/1988,14244.15,0
Heitor,57.0,MG,25/07/1965,,0
Pedro Henrique,57.0,MG,19/06/1995,7339.9,1
Bernardo,50.0,RJ,30/10/1991,8412.79,1
Bruno,37.0,SP,02/09/1983,8246.15,0
Leonardo,41.0,BA,17/07/1972,1817.35,0
Maria Clara,44.0,BA,05/03/1956,,1
Ana Luiza,64.0,RS,11/08/2002,9509.59,1
,34.0,PR,05/04/1965,5028.06,0
Benício,55.0,RJ,05/11/1977,,0
Luiza,58.0,RJ,15/06/1981,3453.81,1
André,61.0,BA,26/09/1956,,0
Guilherme,62.0,MG,22/12/1991,3176.77,0
Camila,46.0,MG,16/07/2001,,0
Marcelo,44.0,BA,29/05/1966,8978.26,0
,67.0,RS,24/01/1999,3318.18,0
Maria Sophia,65.0,RJ,17/05/1978,14503.44,0
Alana,51.0,RJ,22/03/1991,2919.77,0
Marina,60.0,SP,14/11/1996,6813.58,0
Bernardo,38.0,MG,16/12/1973,6206.91,1
Ana Vitória,52.0,SP,14/05/1964,3219.35,1
Lorenzo,61.0,RJ,30/02/1993,,0
Pedro Henrique,30.0,RJ,,2649.04,0
Lucas,37.0,SP,23/07/1974,,0
Ian,37.0,MG,11/12/1987,12333.81,0
Fernanda,62.0,SP,28/04/1984,10866.29,1
Felipe,40.0,SP,04/07/1965,9583.04,0
Luiza,54.0,BA,11/03/1984,,1
Henrique,43.0,RJ,04/09/2002,,1
Olivia,69.0,SP,29/07/1982,2960.5,1
Ana,36.0,RJ,16/06/1987,11042.47,1
Davi Luiz,46.0,BA,28/12/1998,,1
Erick,31.0,SP,26/02/1973,,1
Ana,35.0,MG,08/06/1984,4637.74,1
Isadora,,SP,26/07/2000,3726.84,0
Lívia,33.0,SP,21/10/1987,8130.76,0
Maria Vitória,51.0,RJ,18/09/1958,8384.21,1
Vitor Hugo,21.0,RJ,15/08/2003,13039.32,1
Gabriel,63.0,MG,23/09/1954,5515.77,1
Bruna,67.0,MG,27/11/1964,2258.37,0
Cauê,53.0,SC,15/01/1991,3478.56,0
Paulo,48.0,RJ,25/09/1980,,1
,66.0,RJ,15/08/1976,1347.59,0
Leandro,59.0,BA,banana,14067.69,1
Ana Sophia,23.0,SP,03/08/2006,8307.16,1
Marcela,64.0,RJ,banana,9704.76,0
Nathan,29.0,SP,13/02/1994,10895.77,0
Júlia,29.0,SP,19/12/1991,11397.97,1
Isabel,43.0,SC,27/10/1988,14512.13,0
Kamilly,65.0,BA,13/05/1989,,1
André,18.0,MG,13/07/1983,14344.27,0
Beatriz,24.0,RJ,10/04/1998,3552.68,0
Erick,59.0,SP,01/09/1973,10571.07,0
Luiz Gustavo,26.0,SP,06/02/1993,,1
Clara,69.0,SP,30/01/1985,,0
Eduarda,64.0,RJ,13/11/1984,5406.51,1
Noah,63.0,MG,15/09/1984,13516.42,0
Vitor,,MG,22/05/1984,,1
Caroline,66.0,SP,02/08/1983,6083.72,1
Emilly,58.0,SC,21/05/1956,11169.58,0
,50.0,MG,10/06/1986,2598.46,1
Alícia,60.0,MG,15/05/1966,,1
Isabelly,26.0,MG,,13800.91,0
Daniela,33.0,RJ,13/03/1967,,1
Lavínia,33.0,SP,24/04/1961,6365.47,0
Ana Lívia,39.0,RJ,27/09/1978,3714.11,1
Enzo Gabriel,54.0,BA,11/04/2005,,0
Joaquim,41.0,SP,27/03/1996,,1
Luiz Miguel,,SP,,,1
Danilo,43.0,SP,14/06/1984,,0
Heitor,58.0,,30/02/1993,11466.15,1
Lorena,32.0,SP,14/04/1991,,0
Lavínia,48.0,RS,14/11/1970,14764.42,1
Gabriela,56.0,MG,25/05/2002,8791.71,0
Joaquim,53.0,RJ,29/01/1969,11748.62,0
Antônio,69.0,SP,01/05/1965,13945.15,0
Bernardo,61.0,RJ,26/10/1966,14415.96,0
Rafaela,51.0,RJ,05/11/1964,5948.86,0
Nicole,54.0,SP,02/03/1958,4463.77,0
Diogo,,RJ,26/10/1965,9439.8,1
Fernando,52.0,RJ,25/12/1959,5194.64,1
Raquel,51.0,MG,14/08/2004,,0
Luiz Fernando,,MG,23/07/1975,3778.67,0
Benjamin,23.0,SP,15/08/1959,13125.5,0
Marcelo,47.0,,30/02/1993,7122.39,0
Luiz Henrique,47.0,RJ,28/08/1965,12377.34,0
,61.0,MG,29/04/1982,,1
Isabella,43.0,RJ,11/11/1962,3025.68,0
Marcos Vinicius,65.0,RS,01/02/1989,,0
Mariane,20.0,MG,29/05/1965,9707.25,0
Nina,22.0,SP,12/05/1995,6448.87,0
Emanuelly,22.0,SP,02/09/2000,14725.72,1
João Lucas,44.0,MG,12/08/2000,7812.89,0
Yuri,67.0,SP,21/07/1975,5399.2,0
Giovanna,42.0,MG,08/03/1964,14213.38,1
Maria Julia,42.0,PR,09/03/1969,,1
Fernanda,,MG,23/01/1969,,1
Felipe,40.0,RJ,09/05/1962,7714.4,0
Caio,52.0,,16/09/1959,4681.23,0
Diogo,64.0,MG,19/06/1981,5400.12,0
Luana,66.0,RJ,13/09/1987,10624.87,1
Thiago,47.0,RJ,23/06/1976,11429.83,0
Juliana,70.0,PR,02/10/1995,9326.97,1
João Miguel,40.0,RJ,27/11/1970,,1
Murilo,64.0,SC,21/10/1980,2667.84,1
Guilherme,,PR,05/01/1988,,0
Thales,19.0,SP,25/06/1991,7351.62,1
Luiz Henrique,24.0,SP,08/12/1963,,0
Pedro,61.0,SP,03/01/1956,7743.94,0
Otávio,20.0,,19/11/1994,3320.68,1
Emanuel,52.0,SP,07/07/1994,,0
Luana,67.0,SP,07/09/2001,11679.1,0
,36.0,MG,05/08/1980,7389.05,0
Luiz Fernando,64.0,SP,18/09/2003,2134.38,0
Marcos Vinicius,67.0,RJ,25/11/1999,14343.73,0
Maria Cecília,27.0,BA,17/09/1979,,1
Vitória,35.0,SP,29/06/2005,14390.08,0
Breno,55.0,BA,26/01/1959,10774.49,0
Diogo,45.0,SP,27/02/2003,8548.08,1
Raul,,SP,,,0
Larissa,68.0,MG,04/02/1962,6585.41,0
Isabella,44.0,MG,24/04/1973,,0
João Gabriel,29.0,RS,03/08/1982,1322.29,0
Amanda,32.0,MG,15/10/1962,11143.99,1
Marcela,27.0,BA,28/10/1988,4240.64,0
Maria Luiza,53.0,SP,03/12/1989,3561.31,1
Luana,53.0,SP,06/04/1997,5227.44,1
Benjamin,34.0,BA,03/02/1955,5033.04,0
João Felipe,23.0,BA,03/01/1985,,1
Ana Clara,23.0,SC,30/02/1993,4097.62,0
Elisa,,RJ,01/11/1954,,0
Joaquim,20.0,,30/10/1958,14260.7,0
Lorena,66.0,RJ,17/02/1955,6835.13,1
,39.0,BA,10/01/1997,1990.24,0
Yasmin,18.0,RJ,30/02/1993,4226.06,1
Vitória,65.0,PR,16/11/1968,14608.14,1
Anthony,66.0,RS,13/09/1999,10695.99,0
Mariane,62.0,RJ,11/01/1972,9953.42,1
Mariana,33.0,BA,11/09/1956,4244.82,0
Ana Vitória,42.0,BA,17/01/1995,,1
Ana Sophia,40.0,SP,14/03/1955,,1
Lucas,50.0,PR,02/05/1972,13649.92,0
Cauê,69.0,RJ,23/09/1996,7539.58,1
Sophia,38.0,BA,21/05/1970,,0
Lara,44.0,RJ,02/07/2003,1490.45,0
,32.0,RS,30/11/1956,12481.49,0
Luiz Fernando,,RJ,03/07/1989,,0
Francisco,44.0,SP,30/04/1999,10102.64,1
Eloah,39.0,PR,03/07/2002,8469.54,0
Bryan,33.0,SP,26/10/1987,6414.68,0
Raul,61.0,RJ,07/04/1975,1387.02,0
Juan,70.0,SC,11/02/1970,,0
Kamilly,59.0,SC,04/02/1963,9857.9,0
Sabrina,64.0,MG,30/03/1965,1329.67,0
Kamilly,64.0,MG,12/03/2001,12491.92,0
Olivia,52.0,RJ,14/03/1963,,1
Davi Luiz,22.0,SP,31/01/1992,5441.91,1
Ian,44.0,RJ,31/10/1959,,1
Ana Sophia,32.0,MG,30/03/1996,2898.44,0
Enzo Gabriel,18.0,BA,20/02/1990,,0
Letícia,41.0,BA,03/03/1968,13787.9,0
Isis,60.0,BA,03/02/1962,,1
Bruna,19.0,SP,06/02/1964,4317.2,0
Pietra,44.0,RJ,04/08/1984,11064.95,1
Levi,,SP,08/08/1958,14872.6,0
Letícia,36.0,RJ,14/12/1958,,0
Cecília,62.0,RJ,13/09/2005,,0
Sophie,29.0,RS,10/01/1955,13894.26,0
Isis,51.0,RJ,12/09/1968,3657.34,1
Cauã,57.0,SP,29/06/1971,10576.18,0
Davi Lucca,35.0,SP,15/04/1963,10682.82,0
Melissa,,BA,21/04/1978,2634.13,0
Pedro Henrique,62.0,MG,20/09/1979,14073.77,0
Ana Luiza,70.0,SP,15/10/1999,13091.65,1
João Vitor,59.0,SP,24/05/1968,3222.93,0
Bianca,,MG,29/03/1999,11154.54,0
Bianca,21.0,SP,20/08/2006,2761.66,0
Maria Alice,23.0,BA,28/03/2005,5042.97,1
Enzo,59.0,MG,07/10/1964,2959.99,0
Raquel,24.0,SP,18/06/1996,8020.05,1
João Felipe,62.0,SP,25/10/1999,6912.43,1
Davi Lucas,22.0,SC,21/04/1967,,1
Beatriz,54.0,RJ,26/01/1975,8780.88,1
Joaquim,38.0,RJ,09/02/1982,12535.38,0
Eduardo,55.0,BA,03/01/2003,,0
Fernando,63.0,,06/03/1978,4445.66,1
Diogo,37.0,PR,22/11/1956,,1
Maysa,54.0,SC,16/03/1985,14415.1,0
Bruna,52.0,BA,29/08/1974,,0
Gabriel,65.0,RJ,30/12/1990,,0
Agatha,62.0,SP,09/05/1974,12623.94,1
Enrico,40.0,BA,13/10/1981,2817.85,1
Bernardo,32.0,MG,22/09/2003,1563.59,1
Letícia,67.0,RJ,30/02/1993,10879.34,1
Sophia,38.0,PR,28/12/1993,9396.17,0
Theo,68.0,SP,28/06/1969,6240.37,1
Davi,40.0,RJ,10/04/1975,,1
Eduarda,61.0,SP,23/06/1992,,0
Rebeca,,RJ,18/01/1955,10840.18,0
,63.0,SP,26/01/1955,11171.29,1
Maria Vitória,,SP,07/08/1976,10794.41,1
Alexandre,58.0,,28/07/1986,2028.01,0
Davi Lucca,38.0,SP,,3595.41,1
Lorena,,MG,24/04/1964,,1
Davi Lucas,66.0,MG,08/03/1979,12647.35,0
Lucas Gabriel,23.0,MG,06/07/1972,7046.65,0
Gabriel,53.0,SC,01/05/1959,,0
Igor,,RJ,22/01/1967,2926.84,0
Lucas,56.0,SP,07/03/1981,1972.76,1
Fernanda,18.0,RS,06/07/1960,11494.74,0
Arthur,67.0,SP,31/05/2006,7664.42,0
,53.0,SC,16/03/2005,6790.38,0
Raul,28.0,SP,19/10/1995,,0
Lara,35.0,SC,27/07/1976,2695.93,0
Luiz Fernando,27.0,SP,18/01/1995,11947.4,0
Lara,35.0,RS,22/12/1957,5094.46,1
Ana Sophia,68.0,RJ,26/02/1975,,1
Matheus,33.0,SC,12/04/1999,3983.82,0
Brenda,30.0,SP,23/04/1965,2373.54,0
,37.0,MG,04/02/1968,12105.11,0
Agatha,39.0,SC,31/08/1972,,0
Bryan,39.0,RJ,04/06/2004,,1
,70.0,MG,10/11/1960,8102.98,1
Juan,56.0,MG,04/09/2004,11214.5,1
Isadora,29.0,RJ,14/11/2004,2543.84,1
Olivia,36.0,,06/02/1999,8149.38,1
Cauã,68.0,MG,31/01/1965,,1
Luiz Miguel,35.0,,22/04/1996,12957.97,1
Enzo,54.0,MG,23/08/2005,10616.76,0
Gabriela,52.0,PR,25/12/2003,2487.41,0
Camila,53.0,SP,05/08/2006,12343.17,1
Luiz Fernando,47.0,SP,15/06/1966,3422.45,0
André,36.0,SC,14/10/1986,3010.53,1
Ana Júlia,68.0,RS,12/10/1993,13012.15,1
Julia,26.0,RJ,26/07/2004,,1
Kaique,60.0,MG,20/09/1961,14958.73,1
,68.0,SP,15/04/1998,9023.23,0
Breno,,SP,09/06/1983,,0
Camila,52.0,RJ,24/04/1965,14571.47,0
Carolina,68.0,RJ,21/10/1961,7476.35,0
Pietro,69.0,MG,19/11/1995,3428.32,1
Lucca,,SP,28/02/1986,6076.48,0
Heitor,28.0,SC,07/08/1976,,0
Vitória,59.0,SC,07/03/1991,14703.08,1
Evelyn,39.0,MG,30/02/1993,3138.17,1
Enrico,,RJ,08/07/1967,7937.97,0
,65.0,RJ,17/07/1992,6732.96,0
Carolina,43.0,BA,17/06/1990,8272.21,1
Stella,55.0,MG,23/06/1961,10614.37,1
Joana,19.0,SP,24/04/1978,13282.4,1
Lara,44.0,PR,08/08/1997,10085.36,1
Ana Luiza,64.0,BA,16/04/1977,8939.05,1
Bryan,39.0,PR,14/11/1977,5211.12,0
João Felipe,51.0,MG,,12982.84,0
Isabella,24.0,MG,05/05/1960,7579.44,0
Bryan,46.0,RJ,12/12/1976,7665.14,0
Benício,,PR,18/12/1986,3687.77,0
Enzo Gabriel,,RS,21/12/1956,13930.37,1
Francisco,69.0,SP,28/12/1984,,0
João Felipe,65.0,SP,17/01/1989,9540.3,0
Thiago,53.0,RJ,09/11/1958,7771.83,0
,45.0,BA,07/12/1992,8722.12,1
Anthony,43.0,SC,16/01/2001,4145.89,0
Alexia,60.0,SP,15/05/1974,11884.04,1
Danilo,65.0,MG,06/02/1959,6188.6,0
Maria,45.0,RJ,07/07/1975,4145.21,0
Kaique,31.0,SC,14/12/1966,14346.5,1
Isaac,63.0,BA,17/05/1995,9972.48,1
